root,type,domain,rank_I,rank_II,rank_III,rank_IV,rank_V,rank_VI,rank_VII,rank_VIII,rank_IX,rank_X,rank_XI
root,Main genome,Eukaryota,Amorphea,Metazoa,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Monhysteridae_unclassified,Monhysteridae_unclassified,Monhysteridae_unclassified,Monhysteridae_unclassified,Monhysteridae_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Leptothecata_unclassified,Leptothecata_unclassified,Leptothecata_unclassified,Leptothecata_unclassified,Leptothecata_unclassified,Leptothecata_unclassified
root,Main genome,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa X,Centroheliozoa X_unclassified,Centroheliozoa X_unclassified,Centroheliozoa X_unclassified,Centroheliozoa X_unclassified,Centroheliozoa X_unclassified,Centroheliozoa X_unclassified,Centroheliozoa X_unclassified,Centroheliozoa X_unclassified
root,Main genome,Eukaryota,SAR,Stramenopiles,Ochrophyta,Bacillariophyta,Cocconeis,Cocconeis littoralis family incertae sedis,Cocconeis littoralis genus incertae sedis,Cocconeis littoralis genus incertae sedis_unclassified,Cocconeis littoralis genus incertae sedis_unclassified,Cocconeis littoralis genus incertae sedis_unclassified,Cocconeis littoralis genus incertae sedis_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Euamoebida,Euamoebida_unclassified,Euamoebida_unclassified,Euamoebida_unclassified,Euamoebida_unclassified,Euamoebida_unclassified,Euamoebida_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Arthropoda,Ostracoda,Podocopida,Cytheruridae,Cytheruridae_unclassified,Cytheruridae_unclassified,Cytheruridae_unclassified,Cytheruridae_unclassified,Cytheruridae_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Nematoda,Chromadorea,Monhysterida,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Tubulinea X,Tubulinea XX,Tubulinea XXX,Tubulinea XXX_unclassified,Tubulinea XXX_unclassified,Tubulinea XXX_unclassified,Tubulinea XXX_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Euamoebida,Euamoebida_unclassified,Euamoebida_unclassified,Euamoebida_unclassified,Euamoebida_unclassified,Euamoebida_unclassified,Euamoebida_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Arthropoda,Maxillopoda,Calanoida,Calanoida_unclassified,Calanoida_unclassified,Calanoida_unclassified,Calanoida_unclassified,Calanoida_unclassified,Calanoida_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Gregarines,Gregarines X,Selenidium1,Selenidium1_unclassified,Selenidium1_unclassified,Selenidium1_unclassified,Selenidium1_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Nematoda,Chromadorea,Monhysterida,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Gregarines,Gregarines X,Selenidium1,Selenidium1_unclassified,Selenidium1_unclassified,Selenidium1_unclassified,Selenidium1_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria 7,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Leptomyxida,Flabellulidae,Flabellulidae_unclassified,Flabellulidae_unclassified,Flabellulidae_unclassified,Flabellulidae_unclassified,Flabellulidae_unclassified
root,Main genome,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
root,Main genome,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
root,Main genome,Eukaryota,Archaeplastida,Glaucophyta kingdom incertae sedis,Glaucophyta,Glaucocystophyceae,Glaucocystophyceae_unclassified,Glaucocystophyceae_unclassified,Glaucocystophyceae_unclassified,Glaucocystophyceae_unclassified,Glaucocystophyceae_unclassified,Glaucocystophyceae_unclassified,Glaucocystophyceae_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Nematoda,Chromadorea,Monhysterida,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified
root,Main genome,Eukaryota,Excavata,Discoba,Diplonemea,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified
root,Main genome,Eukaryota,SAR,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Vampyrellida X,Vampyrellida XX,Vampyrellida XX_unclassified,Vampyrellida XX_unclassified,Vampyrellida XX_unclassified,Vampyrellida XX_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Platyhelminthes,Rhabditophora,Rhabdocoela,Rhabdocoela_unclassified,Rhabdocoela_unclassified,Rhabdocoela_unclassified,Rhabdocoela_unclassified,Rhabdocoela_unclassified,Rhabdocoela_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Arthropoda,Maxillopoda,Maxillopoda_unclassified,Maxillopoda_unclassified,Maxillopoda_unclassified,Maxillopoda_unclassified,Maxillopoda_unclassified,Maxillopoda_unclassified,Maxillopoda_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Platyhelminthes,Rhabditophora,Rhabdocoela,Trigonostomidae,Beklemischeviella,Beklemischeviella angustior,Beklemischeviella angustior_unclassified,Beklemischeviella angustior_unclassified,Beklemischeviella angustior_unclassified
root,Main genome,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
root,Main genome,Eukaryota,Excavata,Discoba,Diplonemea,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Euamoebida,Hartmannellidae,Hartmannellidae_unclassified,Hartmannellidae_unclassified,Hartmannellidae_unclassified,Hartmannellidae_unclassified,Hartmannellidae_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Leptomyxida,Flabellulidae,Paraflabellula,Paraflabellula_unclassified,Paraflabellula_unclassified,Paraflabellula_unclassified,Paraflabellula_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Discosea-Flabellinia,Vannellida,Vannellidae,Clydonella,Clydonella sp.,Clydonella sp._unclassified,Clydonella sp._unclassified,Clydonella sp._unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified
root,Main genome,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa X,Centroheliozoa XX,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Discosea-Flabellinia,Vannellida,Vannellidae,Clydonella,Clydonella sp.,Clydonella sp._unclassified,Clydonella sp._unclassified,Clydonella sp._unclassified
root,Main genome,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
root,Main genome,Eukaryota,SAR,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Platyhelminthes,Rhabditophora,Rhabdocoela,Dalyelliidae,Microdalyellia,Microdalyellia_unclassified,Microdalyellia_unclassified,Microdalyellia_unclassified,Microdalyellia_unclassified
root,Main genome,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria 7,Hartmannulidae,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified
root,Main genome,Eukaryota,Excavata,Discoba,Diplonemea,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Chromadorita,Chromadorita_unclassified,Chromadorita_unclassified,Chromadorita_unclassified,Chromadorita_unclassified
root,Main genome,Eukaryota,SAR,Stramenopiles,Ochrophyta,Bacillariophyta,Cocconeis,Cocconeis littoralis family incertae sedis,Cocconeis littoralis genus incertae sedis,Cocconeis littoralis genus incertae sedis_unclassified,Cocconeis littoralis genus incertae sedis_unclassified,Cocconeis littoralis genus incertae sedis_unclassified,Cocconeis littoralis genus incertae sedis_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria 7,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified,Cyrtophoria 7_unclassified
root,Main genome,Eukaryota,SAR,Stramenopiles,Ochrophyta,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Campanulariidae_unclassified,Campanulariidae_unclassified,Campanulariidae_unclassified,Campanulariidae_unclassified,Campanulariidae_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Gastrotricha,Chaetonotida class incertae sedis,Chaetonotida,Chaetonotida_unclassified,Chaetonotida_unclassified,Chaetonotida_unclassified,Chaetonotida_unclassified,Chaetonotida_unclassified,Chaetonotida_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Leptomyxida,Flabellulidae,Flabellula,Flabellula_unclassified,Flabellula_unclassified,Flabellula_unclassified,Flabellula_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria 7,Hartmannulidae,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified
root,Main genome,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Platyhelminthes,Rhabditophora,Rhabdocoela,Rhabdocoela_unclassified,Rhabdocoela_unclassified,Rhabdocoela_unclassified,Rhabdocoela_unclassified,Rhabdocoela_unclassified,Rhabdocoela_unclassified
root,Main genome,Eukaryota,SAR,Stramenopiles,Ochrophyta,Bacillariophyta,Cocconeis,Cocconeis littoralis family incertae sedis,Cocconeis littoralis genus incertae sedis,Cocconeis littoralis genus incertae sedis_unclassified,Cocconeis littoralis genus incertae sedis_unclassified,Cocconeis littoralis genus incertae sedis_unclassified,Cocconeis littoralis genus incertae sedis_unclassified
root,Main genome,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
root,Main genome,Eukaryota,SAR,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified,Bacillariophyta_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Leptomyxida,Flabellulidae,Flabellulidae_unclassified,Flabellulidae_unclassified,Flabellulidae_unclassified,Flabellulidae_unclassified,Flabellulidae_unclassified
