Sample_ID,Sample_type,Site,Sample_date,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Shoot_Length,Leaf_Width,No_Leaves,Dataset,Dataset_short,Dislodgment_method,Area,Country,Sample_name_16S,Sample_name_18S,E,N,NE,NW,S,SE,SW,W,Sheltered.Index,Sea.Surface.Temperature,Orbital_Velocity_Mean,Orbital_Velocity_Max,Salinity,Bathymetry,LibrarySize_18S,Richness_18S,Shannon_18S,DNA_Concentration
K_RQ2_SGO_t1_3,old_leaf,Kiel,2021-07-07,26.08.2021,188,July,Summer,NA,54.349,10.15,14.3,3,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-3,1183F-1443R-P01-E03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,52340,7,0.4372933943,53
M_RQ3_SGO_t1_1,old_leaf,Maasholm,2021-07-05,25.11.2021,186,July,Summer,NA,54.687,10.007,7.4,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-1,1183F-1443R-P01-E05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,15794,32,1.53011436,1.15
K_RQ1_SGO_t1_2,old_leaf,Kiel,2021-07-07,06.12.2021,188,July,Summer,NA,54.349,10.15,14.7,2,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-F02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-2,1183F-1443R-P01-F02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,4958,16,1.552244845,0.465
M_RQ3_SGO_t1_2,old_leaf,Maasholm,2021-07-05,25.11.2021,186,July,Summer,NA,54.687,10.007,9.9,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-F05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-2,1183F-1443R-P01-F05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-2,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,8614,31,2.137647971,0.553
K_D_SGO_t1_1,old_leaf,Kiel,2021-07-06,10.08.2021,187,July,Summer,NA,54.346,10.154,35,3,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-G01-SeaStore-Seq01-2022-K-D-SGO-t1-1,1183F-1443R-P01-G01-SeaStore-Seq01-2022-K-D-SGO-t1-1,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,1.17E-05,0.001480895281,13.03527451,-3.64,19350,16,1.421191351,12.1
K_RQ1_SGO_t1_3,old_leaf,Kiel,2021-07-07,28.07.2021,188,July,Summer,NA,54.349,10.15,12.5,2.5,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-G02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-3,1183F-1443R-P01-G02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,39021,12,0.2309347687,4.6
K_RQ4_SGO_t1_1,old_leaf,Kiel,2021-07-07,26.08.2021,188,July,Summer,NA,54.349,10.15,15.3,2,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-G04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-1,1183F-1443R-P01-G04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,71720,8,0.1727926684,19.6
M_RQ3_SGO_t1_3,old_leaf,Maasholm,2021-07-05,28.07.2021,186,July,Summer,NA,54.687,10.007,NA,2,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-G05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-3,1183F-1443R-P01-G05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-3,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,12745,24,1.315243267,0.895
K_D_SGO_t1_2,old_leaf,Kiel,2021-07-06,25.11.2021,187,July,Summer,NA,54.346,10.154,42.5,4,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-H01-SeaStore-Seq01-2022-K-D-SGO-t1-2,1183F-1443R-P01-H01-SeaStore-Seq01-2022-K-D-SGO-t1-2,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,1.17E-05,0.001480895281,13.03527451,-3.64,34407,21,1.668697578,2.24
K_RQ4_SGO_t1_2,old_leaf,Kiel,2021-07-07,15.12.2021,188,July,Summer,NA,54.349,10.15,18.5,4,6,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-H04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-2,1183F-1443R-P01-H04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,19046,8,0.3521323186,2.68
