Sample_ID,Sample_name_16S,Sample_name_18S,Sample_type,Site,Sample_date,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Shoot_Length,Leaf_Width,No_Leaves,Dataset,Dataset_short,Dislodgment_method,Area,Country,Sheltered_Index,Sea_Surface_Temperature,Orbital_Velocity_Mean,Orbital_Velocity_Max,Salinity,Bathymetry,
M_RQ3_SGO_t4_1,515F-806R-P03-G01-SeaStore-Seq03-2022-M-N-SGR-t0-3,1183F-1443R-P03-G01-SeaStore-Seq03-2022-M-N-SGR-t0-3,old_leaf,Maasholm,2022-05-12,24.08.2022,132,May,Spring,NA,54.687,10.007,26,4,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,10.82686865,0.018783412,0.2279180821,17.53926659,0,
M_RQ3_SGO_t4_2,515F-806R-P01-H12-SeaStore-Seq01-2022-Blank-1,1183F-1443R-P01-H12-SeaStore-Seq01-2022-Blank-1,old_leaf,Maasholm,2022-05-12,21.09.2022,132,May,Spring,NA,54.687,10.007,25,4,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,10.82686865,0.018783412,0.2279180821,17.53926659,0,
M_RQ3_SGO_t4_3,515F-806R-P02-H12-SeaStore-Seq02-2022-Blank-2,1183F-1443R-P02-H12-SeaStore-Seq02-2022-Blank-2,old_leaf,Maasholm,2022-05-12,12.10.2022,132,May,Spring,NA,54.687,10.007,17.1,3,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,10.82686865,0.018783412,0.2279180821,17.53926659,0,
M_RQ4_SGO_t4_1,515F-806R-P03-G03-SeaStore-Seq03-2022-M-RQ4-S-t1-3-DS-1-50,1183F-1443R-P03-G03-SeaStore-Seq03-2022-M-RQ4-S-t1-3-DS-1-50,old_leaf,Maasholm,2022-05-12,24.08.2022,132,May,Spring,NA,54.687,10.007,32,4,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,10.82686865,0.018783412,0.2279180821,17.53926659,0,
M_RQ4_SGO_t4_2,515F-806R-P03-H03-SeaStore-Seq03-2022-M-RQ4-S-t1-3-DS-1-100,1183F-1443R-P03-H03-SeaStore-Seq03-2022-M-RQ4-S-t1-3-DS-1-100,old_leaf,Maasholm,2022-05-12,21.09.2022,132,May,Spring,NA,54.687,10.007,39.2,5,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,10.82686865,0.018783412,0.2279180821,17.53926659,0,
M_RQ4_SGO_t4_3,515F-806R-P03-A04-SeaStore-Seq03-2022-M-RQ4-S-t1-3-DS-1-500,1183F-1443R-P03-A04-SeaStore-Seq03-2022-M-RQ4-S-t1-3-DS-1-500,old_leaf,Maasholm,2022-05-12,12.10.2022,132,May,Spring,NA,54.687,10.007,22.6,3,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,10.82686865,0.018783412,0.2279180821,17.53926659,0,
K_D_SGO_t4_1,515F-806R-P01-G10-SeaStore-Seq01-2022-2-M-RQ3-SGO-t4-2,1183F-1443R-P01-G10-SeaStore-Seq01-2022-2-M-RQ3-SGO-t4-2,old_leaf,Kiel,2022-05-26,24.08.2022,146,May,Spring,NA,54.346,10.154,35.7,5,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.04E-06,4.29E-04,13.86539173,-3.64,
K_D_SGO_t4_2,515F-806R-P01-H10-SeaStore-Seq01-2022-2-M-RQ3-SGO-t4-3,1183F-1443R-P01-H10-SeaStore-Seq01-2022-2-M-RQ3-SGO-t4-3,old_leaf,Kiel,2022-05-26,21.09.2022,146,May,Spring,NA,54.346,10.154,23.6,3.5,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.04E-06,4.29E-04,13.86539173,-3.64,
K_D_SGO_t4_3,515F-806R-P01-A11-SeaStore-Seq01-2022-2-M-RQ3-SGR-t4-2,1183F-1443R-P01-A11-SeaStore-Seq01-2022-2-M-RQ3-SGR-t4-2,old_leaf,Kiel,2022-05-26,07.10.2022,146,May,Spring,NA,54.346,10.154,31.3,4,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.04E-06,4.29E-04,13.86539173,-3.64,
K_RQ1_SGO_t4_1,515F-806R-P01-E11-SeaStore-Seq01-2022-2-M-RQ4-SGO-t4-3,1183F-1443R-P01-E11-SeaStore-Seq01-2022-2-M-RQ4-SGO-t4-3,old_leaf,Kiel,2022-05-25,24.08.2022,145,May,Spring,NA,54.349,10.15,36,4,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,2.18E-06,5.10E-05,13.86539173,-3.64,
