"","root","type","kingdom","superkingdom","superphylum","phylum","class","order","family","genus","species"
"ASV4266","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacterales_unclassified","Fibrobacterales_unclassified","Fibrobacterales_unclassified"
"ASV4267","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Sva0485","Sva0485_unclassified","Sva0485_unclassified","Sva0485_unclassified","Sva0485_unclassified","Sva0485_unclassified"
"ASV4270","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified","Bacteroidia_unclassified","Bacteroidia_unclassified"
"ASV4272","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4_unclassified","SG8-4_unclassified"
"ASV4273","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Caldilineaceae_unclassified","Caldilineaceae_unclassified"
"ASV4274","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996 marine group","Sva0996 marine group_unclassified"
"ASV4275","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula_unclassified"
"ASV4278","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","Peredibacter_unclassified"
"ASV4279","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Ardenticatenales","Ardenticatenales_unclassified","Ardenticatenales_unclassified","Ardenticatenales_unclassified"
"ASV4280","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","Pir4 lineage_unclassified"
"ASV4281","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineales_unclassified","Caldilineales_unclassified","Caldilineales_unclassified"
"ASV4283","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter","Erythrobacter_unclassified"
"ASV4284","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","MSBL3","MSBL3_unclassified"
"ASV4285","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified"
"ASV4286","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5_unclassified","SB-5_unclassified"
"ASV4287","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"ASV4288","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula_unclassified"
"ASV4289","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified","Bacteroidia_unclassified","Bacteroidia_unclassified"
"ASV4290","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadales_unclassified","Bradymonadales_unclassified","Bradymonadales_unclassified"
"ASV4291","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Marinilabiliaceae_unclassified","Marinilabiliaceae_unclassified"
"ASV4293","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Litorimonas","Litorimonas_unclassified"
"ASV4294","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","R76-B128","R76-B128_unclassified"
"ASV4295","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Beggiatoales","Beggiatoaceae","Thioflexothrix","Thioflexothrix_unclassified"
"ASV4296","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Actinobacteriota","Actinobacteria","PeM15","PeM15_unclassified","PeM15_unclassified","PeM15_unclassified"
"ASV4297","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagales_unclassified","Chitinophagales_unclassified","Chitinophagales_unclassified"
"ASV4298","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_unclassified","Saprospiraceae_unclassified"
"ASV4299","root","Main genome","Bacteria","Bacteria (superkingdom)","Acidobacteria superphylum","Acidobacteriota","Acidobacteria group 21","Acidobacteria group 21_unclassified","Acidobacteria group 21_unclassified","Acidobacteria group 21_unclassified","Acidobacteria group 21_unclassified"
