Sample_ID,Sample_type,Site,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Sample_date,Shoot_Length,Leaf_Width,No_Leaves,Salinity,Temperature,Dataset,Dataset_short,Dislodgment_method,Area,Country,LibrarySize_16S,Bathymetry,Richness_16S,Shannon_16S,Orbital_Velocity_from_Max,Orbital_Velocity_from_Mean,Orbital_Velocity
GH9-SGO-1,old_leaf,Leuchtturm,18.02.2020,204,July,Summer,3,54.58645,13.162317,23.07.2019,43,2,3.5,8.93,18.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,10135,-3.46,191,3.497674134,0.6897605,0.910444,Growing Season
GH9-SGO-2,old_leaf,Leuchtturm,19.02.2020,204,July,Summer,3,54.58645,13.162317,23.07.2019,51,3.5,5.5,8.93,18.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,11074,-3.46,195,4.162869909,0.6897605,0.910444,Growing Season
GH9-SGO-3,old_leaf,Leuchtturm,19.02.2020,204,July,Summer,3,54.58645,13.162317,23.07.2019,36,2,4.5,8.93,18.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,6741,-3.46,160,3.869074575,0.6897605,0.910444,Growing Season
GH9-SGO-4,old_leaf,Leuchtturm,20.02.2020,204,July,Summer,3,54.58645,13.162317,23.07.2019,57,3,4,8.93,18.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,12076,-3.46,191,3.737526781,0.6897605,0.910444,Growing Season
GH9-SGY-1,young_leaf,Leuchtturm,18.02.2020,204,July,Summer,3,54.58645,13.162317,23.07.2019,43,2,3.5,8.93,18.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,9614,-3.46,158,3.669609563,0.6897605,0.910444,Growing Season
GH9-SGY-2,young_leaf,Leuchtturm,19.02.2020,204,July,Summer,3,54.58645,13.162317,23.07.2019,51,3.5,5.5,8.93,18.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,17731,-3.46,138,2.987156925,0.6897605,0.910444,Growing Season
GH9-SGY-3,young_leaf,Leuchtturm,19.02.2020,204,July,Summer,3,54.58645,13.162317,23.07.2019,36,2,4.5,8.93,18.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,13584,-3.46,377,5.119514816,0.6897605,0.910444,Growing Season
GH9-SGY-4,young_leaf,Leuchtturm,20.02.2020,204,July,Summer,3,54.58645,13.162317,23.07.2019,57,3,4,8.93,18.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,50667,-3.46,215,3.667466835,0.6897605,0.910444,Growing Season
GLO-SGO-1,old_leaf,Loissin,18.02.2020,162,June,Summer,2.65,54.1388,13.5325,11.06.2019,29,4,NA,NA,7.5,Seagrass_Vibrio,SV,whole_leaf,Greifswald Bay,Germany,15113,-2.74,210,4.032248731,0.7285759,0.9512524,Growing Season
GLO-SGO-2,old_leaf,Loissin,19.02.2020,162,June,Summer,2.65,54.1388,13.5325,11.06.2019,22,3,NA,NA,7.5,Seagrass_Vibrio,SV,whole_leaf,Greifswald Bay,Germany,38850,-2.74,279,4.217479163,0.7285759,0.9512524,Growing Season
GLO-SGO-3,old_leaf,Loissin,19.02.2020,162,June,Summer,2.65,54.1388,13.5325,11.06.2019,15,2.5,NA,NA,7.5,Seagrass_Vibrio,SV,whole_leaf,Greifswald Bay,Germany,32262,-2.74,259,4.12057883,0.7285759,0.9512524,Growing Season
GLO-SGO-4,old_leaf,Loissin,20.02.2020,162,June,Summer,2.65,54.1388,13.5325,11.06.2019,22,3,NA,NA,7.5,Seagrass_Vibrio,SV,whole_leaf,Greifswald Bay,Germany,28963,-2.74,281,3.897054859,0.7285759,0.9512524,Growing Season
GLO-SGY-3,young_leaf,Loissin,19.02.2020,162,June,Summer,2.65,54.1388,13.5325,11.06.2019,15,2.5,NA,NA,7.5,Seagrass_Vibrio,SV,whole_leaf,Greifswald Bay,Germany,38280,-2.74,119,3.088312334,0.7285759,0.9512524,Growing Season
GLO-SGY-4,young_leaf,Loissin,20.02.2020,162,June,Summer,2.65,54.1388,13.5325,11.06.2019,22,3,NA,NA,7.5,Seagrass_Vibrio,SV,whole_leaf,Greifswald Bay,Germany,8950,-2.74,89,3.077809894,0.7285759,0.9512524,Growing Season
SBJ-SGO-1,old_leaf,Bjoernoe,18.02.2020,208,July,Summer,3.4,59.22,18.5508,27.07.2019,48,4,NA,3.8,5,Seagrass_Vibrio,SV,whole_leaf,Stockholm Archipelago,Sweden,26113,0,313,4.385752612,3.0634977,3.6390525,Growing Season
SBJ-SGO-2,old_leaf,Bjoernoe,19.02.2020,208,July,Summer,3.4,59.22,18.5508,27.07.2019,43,4,NA,3.8,5,Seagrass_Vibrio,SV,whole_leaf,Stockholm Archipelago,Sweden,29289,0,324,4.156687536,3.0634977,3.6390525,Growing Season
SBJ-SGO-3,old_leaf,Bjoernoe,19.02.2020,208,July,Summer,3.4,59.22,18.5508,27.07.2019,24,2.5,NA,3.8,5,Seagrass_Vibrio,SV,whole_leaf,Stockholm Archipelago,Sweden,21798,0,188,3.418762005,3.0634977,3.6390525,Growing Season
SBJ-SGO-4,old_leaf,Bjoernoe,18.02.2020,208,July,Summer,3.4,59.22,18.5508,27.07.2019,40,3,NA,3.8,5,Seagrass_Vibrio,SV,whole_leaf,Stockholm Archipelago,Sweden,56485,0,459,4.500847286,3.0634977,3.6390525,Growing Season
SBJ-SGY-1,young_leaf,Bjoernoe,18.02.2020,208,July,Summer,3.4,59.22,18.5508,27.07.2019,48,4,NA,3.8,5,Seagrass_Vibrio,SV,whole_leaf,Stockholm Archipelago,Sweden,20711,0,211,3.590333573,3.0634977,3.6390525,Growing Season
SBJ-SGY-2,young_leaf,Bjoernoe,19.02.2020,208,July,Summer,3.4,59.22,18.5508,27.07.2019,43,4,NA,3.8,5,Seagrass_Vibrio,SV,whole_leaf,Stockholm Archipelago,Sweden,48779,0,322,3.625061754,3.0634977,3.6390525,Growing Season
SBJ-SGY-3,young_leaf,Bjoernoe,19.02.2020,208,July,Summer,3.4,59.22,18.5508,27.07.2019,24,2.5,NA,3.8,5,Seagrass_Vibrio,SV,whole_leaf,Stockholm Archipelago,Sweden,41886,0,359,4.39781886,3.0634977,3.6390525,Growing Season
SBJ-SGY-4,young_leaf,Bjoernoe,20.02.2020,208,July,Summer,3.4,59.22,18.5508,27.07.2019,40,3,NA,3.8,5,Seagrass_Vibrio,SV,whole_leaf,Stockholm Archipelago,Sweden,49402,0,552,4.439833881,3.0634977,3.6390525,Growing Season
SHV-SGO-1,old_leaf,Herrvik,17.02.2020,246,September,Autumn,2,57.4365,18.902,03.09.2019,36,3,NA,NA,8,Seagrass_Vibrio,SV,whole_leaf,Gotland,Sweden,81698,-3.1,247,2.396449771,0.3259326,0.391836,Growing Season
SHV-SGO-2,old_leaf,Herrvik,17.02.2020,246,September,Autumn,2,57.4365,18.902,03.09.2019,50,3,NA,NA,8,Seagrass_Vibrio,SV,whole_leaf,Gotland,Sweden,51576,-3.1,170,1.486186844,0.3259326,0.391836,Growing Season
